Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,College-Name-7,Degree-Name-7,Field-Of-Study-7,Activities-and-Societies-7,Activities-and-Societies--7,Job-Title-7,Company-Name-7,Dates-Employed-7,Employment-Duration-7,Location-7,College-Name-8,Degree-Name-8,Field-Of-Study-8,Activities-and-Societies-8,Activities-and-Societies--8,Job-Title-8,Company-Name-8,Dates-Employed-8,Employment-Duration-8,Location-8,College-Name-9,Degree-Name-9,Field-Of-Study-9,Activities-and-Societies-9,Activities-and-Societies--9,Job-Title-9,Company-Name-9,Dates-Employed-9,Employment-Duration-9,Location-9,College-Name-10,Degree-Name-10,Field-Of-Study-10,Activities-and-Societies-10,Activities-and-Societies--10,Job-Title-10,Company-Name-10,Dates-Employed-10,Employment-Duration-10,Location-10,College-Name-11,Degree-Name-11,Field-Of-Study-11,Activities-and-Societies-11,Activities-and-Societies--11,Job-Title-11,Company-Name-11,Dates-Employed-11,Employment-Duration-11,Location-11,College-Name-12,Degree-Name-12,Field-Of-Study-12,Activities-and-Societies-12,Activities-and-Societies--12,Job-Title-12,Company-Name-12,Dates-Employed-12,Employment-Duration-12,Location-12,College-Name-13,Degree-Name-13,Field-Of-Study-13,Activities-and-Societies-13,Activities-and-Societies--13,Job-Title-13,Company-Name-13,Dates-Employed-13,Employment-Duration-13,Location-13,skills
"Director of Data Science, Machine Learning at Walmart Global Tech",Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverage System-On-Chip Software and Deep Learning Expertise to build Computer Vision Systems for Autonomous Vehicles,Machine Learning,Telecom ParisTech,Master’s Degree,Digital Signal Processing and Pattern Recognition,"Fundamentals of Computer Vision, Digital Signal Processing, Communications, Communication Theory, Information Theory, Probabilistic Models, Higher Order Statisctics, Statistical Modeling, Signal and Noise, Random Processes, Time Frequency Time Scale Analysis, Bayesian Models, Stochastic Processes, Pattern Recognition, Speech Processing,  Beam Forming, Adaptive filtering, Kalman filtering, Detection, Prediction, Fundamentals of Radar and Sonar.",,Machine learning on Encrypted data Engineer,Intel Corporation,Nov 2018 – Present,3 yrs,"Folsom, CA",Udacity,Self-Driving Car Engineer NanoDegree Program,"Deep Learning, Computer Vision, Robotics for Driverless car",,,Deep Learning and Computer Vision Engineer,Contract Engineer,Oct 2016 – Oct 2017,1 yr 1 mo,"New York, NY - Folsom, CA",Udacity,Computer Vision,Georgia Tech -- 4 months course,,,Principal DSP Firmware Engineer,Qualcomm/Ikanos,Aug 2009 – Sep 2016,7 yrs 2 mos,"Red Bank, NJ",,,,,,Partner,Applix-Software LLC,Dec 2009 – Jun 2016,6 yrs 7 mos,State of Delaware,,,,,,Principal DSP Firmware Engineer,Conexant,Mar 2004 – Aug 2009,5 yrs 6 mos,"Red Bank, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Research Scientist - Deep Learning,Machine Learning,Carnegie Mellon University,Doctor of Philosophy (Ph.D.),Advanced Infrastructure Systems,,,Machine Learning Research Scientist - Deep Learning,searchable.ai,Aug 2020 – Present,1 yr 3 mos,"San Francisco, California, United States",Carnegie Mellon University,Master's Degree,Advanced Infrastructure Systems (AIS),,,Postdoctoral Researcher,Stanford University,Jan 2020 – Aug 2020,8 mos,,,,,,,Graduate Researcher,Carnegie Mellon University,May 2015 – Jan 2020,4 yrs 9 mos,Pittsburgh,,,,,,Intern,"HOMMA, Inc",May 2017 – Aug 2017,4 mos,"Palo Alto, California, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Data Scientist at Accenture,Machine Learning,"University of California, Santa Barbara",PhD,Mechanical Engineering,,,Principal (Manager) R&D Data Scientist,Accenture,Dec 2020 – Present,11 mos,San Francisco Bay Area,Sharif University of Technology,MSc,Applied Mechanics,,,Data Scientist,Evidation Health,May 2017 – Aug 2017,4 mos,,Isfahan University of Technology,BSc,Mechanical Engineering,,,Data Engineer Fellow,Insight Data Science,Jan 2017 – Feb 2017,2 mos,Palo Alto,,,,,,Postdoctoral Scholar,UC Santa Barbara,Aug 2013 – Sep 2016,3 yrs 2 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vice President of Machine Learning at Walmart | IEEE Senior Member | Edelman Laureate,Machine Learning,California Institute of Technology,Doctor of Philosophy - PhD,"Aerospace, Aeronautical and Astronautical/Space Engineering",,,"Vice President of Machine Learning, Merchandising & Supply Chain, US",Walmart Global Tech,Feb 2020 – Present,1 yr 9 mos,"Sunnyvale, California, United States",HBX | Harvard Business School,Executive Education,Leadership | Strategy | Finance,,,Senior Data Science Manager,Uber,Feb 2017 – Jun 2018,1 yr 5 mos,"San Francisco, California",École Polytechnique,Masters,Mechanics,,,"Sr. Data Scientist, Sales & Monetization",Twitter,Jul 2013 – Jan 2015,1 yr 7 mos,San Francisco Bay Area,,,,,,"PhD Candidate, Aeronautics",California Institute of Technology,Jan 2010 – Apr 2013,3 yrs 4 mos,"Pasadena, CA",,,,,,Fellow,Insight Data Science,Jan 2013 – Mar 2013,3 mos,Mountain View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director of Machine Learning at Tempus Labs, Inc.",Machine Learning,Università degli Studi di Padova,PhD,Information Engineering,,,Director of Machine Learning,"Tempus Labs, Inc.",Mar 2021 – Present,8 mos,"New York, NY, United States",University of California San Diego,"Visiting Scholar, PhD",Electrical and Computer Engineering,,,Scientific Advisor,"OOVA, Inc.",Aug 2018 – Present,3 yrs 3 mos,"New York, NY, United States",Università degli Studi di Padova,Ms,Computer Science Engineering,,,Assistant Professor,Icahn School of Medicine at Mount Sinai,Oct 2018 – Feb 2021,2 yrs 5 mos,"New York, NY, United States",,,,,,Postdoctoral Research Scientist,Columbia University,May 2012 – Apr 2014,2 yrs,"New York, NY, United States",,,,,,Research Engineer,UrFilez,May 2011 – Apr 2012,1 yr,"New York, NY, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiring Applied Scientists at Amazon Machine Learning Solutions Lab in Chicago,Machine Learning,University of Notre Dame,PhD,Computer Science and Engineering,,,"Head of Central United States and Automotive Vertical, Amazon Machine Learning Solutions Lab",Amazon Web Services (AWS),Apr 2020 – Present,1 yr 7 mos,"Chicago, Illinois, United States",University of Notre Dame,MS,Computer Science and Engineering,,,Adjunct Assistant Professor,Northwestern University,Sep 2012 – Present,9 yrs 2 mos,,University of Science and Technology of China,B.S.,"MIS, Computer",,,Adjunct Faculty,Illinois Institute of Technology,Aug 2010 – Present,11 yrs 3 mos,,,,,,,Director of Engineering,HERE Technologies,Sep 2017 – Apr 2020,2 yrs 8 mos,"Chicago, IL",,,,,,"Panelist, Information and Intelligent Systems Division",National Science Foundation,2015 – 2020,5 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Algorithms,Computer Vision,Image Processing"
Machine Learning and Recommendation,Machine Learning,Princeton University,Doctor of Philosophy (PhD),Electrical and Electronics Engineering,,,Machine Learning | ML for Personalization and Recommendation,Google,Jan 2019 – Present,2 yrs 10 mos,San Francisco Bay Area,Princeton University,Master of Arts (M.A.),Electrical and Electronics Engineering,,,ML Research Associate | ML for Security & Privacy,Princeton University,Feb 2017 – Jan 2019,2 yrs,,Sharif University of Technology,Bachelor's degree,Computer Engineering,,,Postdoctoral ML Research Associate | ML for Security & Privacy,Purdue University,Jan 2017 – Jan 2019,2 yrs 1 mo,,,,,,,Technical Advisor | ML for Distributed Applications,OpenFog Consortium (now combined with the IIC ),Dec 2016 – Dec 2018,2 yrs 1 mo,,,,,,,PHD Candidate | ML for Security & Privacy,Princeton University,Sep 2012 – Dec 2016,4 yrs 4 mos,"Princeton, NJ, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Consultant and Instructor at Harvard Extension School and University of Washington,Machine Learning,Princeton University,"Ph.D., MS",Geophysics,Held NSF John von Neuman supercomputing fellowship.,,Principal Consultant,"Quantia Analytics, LLC.",May 2008 – Present,13 yrs 6 mos,"Greater Seattle Area, Greater New York Area, London",The University of New Mexico,Bachelor of Science (BS),"Physics, Math",,,Instructor,Harvard Extension School,Sep 2016 – Present,5 yrs 2 mos,"Cambridge, Massachusetts, United States",,,,,,Instructor,University of Washington,Jan 2016 – Present,5 yrs 10 mos,,,,,,,"Cofounder, President and Member of Board of Directors",FinAnalytica Inc,2003 – 2008,5 yrs,"Greater Seattle Area, New York City",,,,,,VP Engineering and Chief Technical Officer,Ontain,1999 – 2001,2 yrs,Greater Seattle Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist at Domestic & General,Machine Learning,"City, University of London",Master of Science - MS,Data Science,,,Senior Data Scientist,Domestic & General,Aug 2021 – Present,3 mos,"London, England, United Kingdom",Politecnico di Torino,Master of Engineering (M.Eng.),"Aerospace, Aeronautical and Astronautical Engineering",,,Data Scientist,ERS,Sep 2019 – Mar 2021,1 yr 7 mos,"London, England, United Kingdom",Ecole centrale de Lyon,Master of Science - MS,ERASMUS PROGRAMME - France,,,Data Scientist,Quantexa,Jul 2019 – Sep 2019,3 mos,"London, England, United Kingdom",,,,,,Technical Consultant,MSX International,Jan 2017 – Jan 2018,1 yr 1 mo,"Turin Area, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
